"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5","wincount.6","wincount.7","wincount.8","wincount.9","wincount.10"
"207",2,FALSE,"dirichlet",10,300,53,56,48,40,42,57,45,62,57,40
"208",2,TRUE,"dirichlet",10,300,0,0,35,15,0,381,0,8,58,3
"209",2,FALSE,"dtree",0.00999999977648258,400,0,0,7,1,0,475,0,7,10,0
"210",2,TRUE,"dtree",0.00999999977648258,400,0,0,0,0,0,496,0,2,2,0
"211",2,FALSE,"dtree",0.100000001490116,400,0,0,3,1,0,476,0,7,12,1
"212",2,TRUE,"dtree",0.100000001490116,400,0,0,0,0,0,496,0,0,4,0
"213",2,FALSE,"dtree",1,400,0,0,3,0,0,481,0,4,12,0
"214",2,TRUE,"dtree",1,400,0,0,0,0,0,499,0,1,0,0
"215",2,FALSE,"dtree",10,400,0,0,7,1,0,480,0,3,9,0
"216",2,TRUE,"dtree",10,400,0,0,0,0,0,498,0,0,2,0
"217",2,FALSE,"dirichlet",0.00999999977648258,400,51,43,44,40,54,42,54,54,64,54
"218",2,TRUE,"dirichlet",0.00999999977648258,400,0,0,8,0,0,460,0,12,19,1
"219",2,FALSE,"dirichlet",0.100000001490116,400,31,45,52,51,58,56,58,45,51,53
"220",2,TRUE,"dirichlet",0.100000001490116,400,0,0,7,3,0,472,0,5,13,0
"221",2,FALSE,"dirichlet",1,400,45,41,45,54,38,46,55,65,62,49
"222",2,TRUE,"dirichlet",1,400,0,0,7,2,0,466,0,7,18,0
"223",2,FALSE,"dirichlet",10,400,47,55,48,45,37,48,74,46,43,57
"224",2,TRUE,"dirichlet",10,400,0,0,1,1,0,477,0,7,14,0
"225",2,FALSE,"dtree",0.00999999977648258,500,0,0,3,0,0,496,0,0,1,0
"226",2,TRUE,"dtree",0.00999999977648258,500,0,0,0,0,0,500,0,0,0,0
"227",2,FALSE,"dtree",0.100000001490116,500,0,0,3,0,0,494,0,2,1,0
"228",2,TRUE,"dtree",0.100000001490116,500,0,0,0,0,0,500,0,0,0,0
"229",2,FALSE,"dtree",1,500,0,0,2,0,0,493,0,2,3,0
"230",2,TRUE,"dtree",1,500,0,0,0,0,0,500,0,0,0,0
"231",2,FALSE,"dtree",10,500,0,0,1,0,0,499,0,0,0,0
"232",2,TRUE,"dtree",10,500,0,0,0,0,0,500,0,0,0,0
"233",2,FALSE,"dirichlet",0.00999999977648258,500,52,49,45,53,41,64,50,50,40,56
"234",2,TRUE,"dirichlet",0.00999999977648258,500,0,0,1,0,0,499,0,0,0,0
"235",2,FALSE,"dirichlet",0.100000001490116,500,57,43,57,40,48,39,53,52,55,56
"236",2,TRUE,"dirichlet",0.100000001490116,500,0,0,0,0,0,500,0,0,0,0
"237",2,FALSE,"dirichlet",1,500,52,60,55,48,52,49,47,45,35,57
"238",2,TRUE,"dirichlet",1,500,0,0,0,0,0,499,0,1,0,0
"239",2,FALSE,"dirichlet",10,500,46,45,48,41,44,61,45,50,55,65
"240",2,TRUE,"dirichlet",10,500,0,0,0,0,0,498,0,1,1,0
"241",2,FALSE,"dtree",0.00999999977648258,600,0,0,4,0,0,487,0,5,4,0
"242",2,TRUE,"dtree",0.00999999977648258,600,0,0,0,0,0,500,0,0,0,0
"243",2,FALSE,"dtree",0.100000001490116,600,0,0,3,0,0,490,0,3,4,0
"244",2,TRUE,"dtree",0.100000001490116,600,0,0,0,0,0,500,0,0,0,0
"245",2,FALSE,"dtree",1,600,0,0,3,0,0,493,0,0,4,0
"246",2,TRUE,"dtree",1,600,0,0,0,0,0,500,0,0,0,0
"247",2,FALSE,"dtree",10,600,0,0,1,0,0,496,0,0,3,0
"248",2,TRUE,"dtree",10,600,0,0,0,0,0,500,0,0,0,0
"249",2,FALSE,"dirichlet",0.00999999977648258,600,42,44,46,50,54,43,50,65,55,51
"250",2,TRUE,"dirichlet",0.00999999977648258,600,0,0,0,0,0,500,0,0,0,0
"251",2,FALSE,"dirichlet",0.100000001490116,600,53,57,37,49,53,49,50,54,43,55
"252",2,TRUE,"dirichlet",0.100000001490116,600,0,0,0,0,0,500,0,0,0,0
"253",2,FALSE,"dirichlet",1,600,53,45,53,51,52,36,52,58,63,37
"254",2,TRUE,"dirichlet",1,600,0,0,0,0,0,500,0,0,0,0
"255",2,FALSE,"dirichlet",10,600,42,36,42,60,48,56,47,61,48,60
"256",2,TRUE,"dirichlet",10,600,0,0,0,0,0,500,0,0,0,0
"257",2,FALSE,"dtree",0.00999999977648258,700,0,0,0,0,0,500,0,0,0,0
"258",2,TRUE,"dtree",0.00999999977648258,700,0,0,0,0,0,500,0,0,0,0
"259",2,FALSE,"dtree",0.100000001490116,700,0,0,0,0,0,500,0,0,0,0
"260",2,TRUE,"dtree",0.100000001490116,700,0,0,0,0,0,500,0,0,0,0
"261",2,FALSE,"dtree",1,700,0,0,0,0,0,500,0,0,0,0
"262",2,TRUE,"dtree",1,700,0,0,0,0,0,500,0,0,0,0
"263",2,FALSE,"dtree",10,700,0,0,0,0,0,500,0,0,0,0
"264",2,TRUE,"dtree",10,700,0,0,0,0,0,500,0,0,0,0
"265",2,FALSE,"dirichlet",0.00999999977648258,700,36,46,62,52,47,42,55,52,58,50
"266",2,TRUE,"dirichlet",0.00999999977648258,700,0,0,0,0,0,500,0,0,0,0
"267",2,FALSE,"dirichlet",0.100000001490116,700,44,52,35,45,39,56,59,42,70,58
"268",2,TRUE,"dirichlet",0.100000001490116,700,0,0,0,0,0,500,0,0,0,0
"269",2,FALSE,"dirichlet",1,700,40,53,48,38,50,58,49,53,62,49
"270",2,TRUE,"dirichlet",1,700,0,0,0,0,0,500,0,0,0,0
"271",2,FALSE,"dirichlet",10,700,53,55,48,41,57,44,46,37,57,62
"272",2,TRUE,"dirichlet",10,700,0,0,0,0,0,500,0,0,0,0
"273",2,FALSE,"dtree",0.00999999977648258,800,0,0,0,0,0,499,0,1,0,0
"274",2,TRUE,"dtree",0.00999999977648258,800,0,0,0,0,0,500,0,0,0,0
"275",2,FALSE,"dtree",0.100000001490116,800,0,0,1,0,0,497,0,2,0,0
"276",2,TRUE,"dtree",0.100000001490116,800,0,0,0,0,0,500,0,0,0,0
"277",2,FALSE,"dtree",1,800,0,0,1,0,0,497,0,2,0,0
"278",2,TRUE,"dtree",1,800,0,0,0,0,0,500,0,0,0,0
"279",2,FALSE,"dtree",10,800,0,0,0,0,0,499,0,1,0,0
"280",2,TRUE,"dtree",10,800,0,0,0,0,0,500,0,0,0,0
"281",2,FALSE,"dirichlet",0.00999999977648258,800,65,52,41,45,55,57,38,48,41,58
"282",2,TRUE,"dirichlet",0.00999999977648258,800,0,0,0,0,0,500,0,0,0,0
"283",2,FALSE,"dirichlet",0.100000001490116,800,46,47,47,50,52,51,50,39,54,64
