"","usingObserved","treeType","scale","counted","numWins"
"392",TRUE,"Dirichlet",1,660,10
"393",FALSE,"Dirichlet",2,660,1
"394",TRUE,"Dirichlet",2,660,9
"395",FALSE,"Dirichlet",3,660,1
"396",TRUE,"Dirichlet",3,660,10
"397",FALSE,"Dirichlet Tree",1,680,7
"398",TRUE,"Dirichlet Tree",1,680,10
"399",FALSE,"Dirichlet Tree",2,680,7
"400",TRUE,"Dirichlet Tree",2,680,10
"401",FALSE,"Dirichlet Tree",3,680,8
"402",TRUE,"Dirichlet Tree",3,680,10
"403",FALSE,"Dirichlet",1,680,8
"404",TRUE,"Dirichlet",1,680,10
"405",FALSE,"Dirichlet",2,680,2
"406",TRUE,"Dirichlet",2,680,9
"407",FALSE,"Dirichlet",3,680,1
"408",TRUE,"Dirichlet",3,680,10
"409",FALSE,"Dirichlet Tree",1,700,8
"410",TRUE,"Dirichlet Tree",1,700,10
"411",FALSE,"Dirichlet Tree",2,700,8
"412",TRUE,"Dirichlet Tree",2,700,10
"413",FALSE,"Dirichlet Tree",3,700,7
"414",TRUE,"Dirichlet Tree",3,700,10
"415",FALSE,"Dirichlet",1,700,10
"416",TRUE,"Dirichlet",1,700,10
"417",FALSE,"Dirichlet",2,700,1
"418",TRUE,"Dirichlet",2,700,10
"419",FALSE,"Dirichlet",3,700,0
"420",TRUE,"Dirichlet",3,700,10
"421",FALSE,"Dirichlet Tree",1,720,10
"422",TRUE,"Dirichlet Tree",1,720,10
"423",FALSE,"Dirichlet Tree",2,720,6
"424",TRUE,"Dirichlet Tree",2,720,10
"425",FALSE,"Dirichlet Tree",3,720,9
"426",TRUE,"Dirichlet Tree",3,720,10
"427",FALSE,"Dirichlet",1,720,8
"428",TRUE,"Dirichlet",1,720,10
"429",FALSE,"Dirichlet",2,720,2
"430",TRUE,"Dirichlet",2,720,10
"431",FALSE,"Dirichlet",3,720,0
"432",TRUE,"Dirichlet",3,720,10
"433",FALSE,"Dirichlet Tree",1,740,9
"434",TRUE,"Dirichlet Tree",1,740,10
"435",FALSE,"Dirichlet Tree",2,740,8
"436",TRUE,"Dirichlet Tree",2,740,10
"437",FALSE,"Dirichlet Tree",3,740,8
"438",TRUE,"Dirichlet Tree",3,740,10
"439",FALSE,"Dirichlet",1,740,8
"440",TRUE,"Dirichlet",1,740,10
"441",FALSE,"Dirichlet",2,740,1
"442",TRUE,"Dirichlet",2,740,10
"443",FALSE,"Dirichlet",3,740,1
"444",TRUE,"Dirichlet",3,740,10
"445",FALSE,"Dirichlet Tree",1,760,8
"446",TRUE,"Dirichlet Tree",1,760,10
"447",FALSE,"Dirichlet Tree",2,760,9
"448",TRUE,"Dirichlet Tree",2,760,10
"449",FALSE,"Dirichlet Tree",3,760,10
"450",TRUE,"Dirichlet Tree",3,760,10
"451",FALSE,"Dirichlet",1,760,7
"452",TRUE,"Dirichlet",1,760,10
"453",FALSE,"Dirichlet",2,760,0
"454",TRUE,"Dirichlet",2,760,10
"455",FALSE,"Dirichlet",3,760,1
"456",TRUE,"Dirichlet",3,760,10
"457",FALSE,"Dirichlet Tree",1,780,9
"458",TRUE,"Dirichlet Tree",1,780,10
"459",FALSE,"Dirichlet Tree",2,780,9
"460",TRUE,"Dirichlet Tree",2,780,10
"461",FALSE,"Dirichlet Tree",3,780,10
"462",TRUE,"Dirichlet Tree",3,780,10
"463",FALSE,"Dirichlet",1,780,7
"464",TRUE,"Dirichlet",1,780,10
"465",FALSE,"Dirichlet",2,780,1
"466",TRUE,"Dirichlet",2,780,10
"467",FALSE,"Dirichlet",3,780,1
"468",TRUE,"Dirichlet",3,780,10
"469",FALSE,"Dirichlet Tree",1,800,8
"470",TRUE,"Dirichlet Tree",1,800,10
"471",FALSE,"Dirichlet Tree",2,800,8
"472",TRUE,"Dirichlet Tree",2,800,10
"473",FALSE,"Dirichlet Tree",3,800,9
"474",TRUE,"Dirichlet Tree",3,800,10
"475",FALSE,"Dirichlet",1,800,8
"476",TRUE,"Dirichlet",1,800,10
"477",FALSE,"Dirichlet",2,800,2
"478",TRUE,"Dirichlet",2,800,10
"479",FALSE,"Dirichlet",3,800,0
"480",TRUE,"Dirichlet",3,800,10
"481",FALSE,"Dirichlet Tree",1,820,9
"482",TRUE,"Dirichlet Tree",1,820,10
"483",FALSE,"Dirichlet Tree",2,820,10
"484",TRUE,"Dirichlet Tree",2,820,10
"485",FALSE,"Dirichlet Tree",3,820,10
"486",TRUE,"Dirichlet Tree",3,820,10
"487",FALSE,"Dirichlet",1,820,6
"488",TRUE,"Dirichlet",1,820,10
"489",FALSE,"Dirichlet",2,820,2
"490",TRUE,"Dirichlet",2,820,10
"491",FALSE,"Dirichlet",3,820,0
"492",TRUE,"Dirichlet",3,820,10
"493",FALSE,"Dirichlet Tree",1,840,8
"494",TRUE,"Dirichlet Tree",1,840,10
"495",FALSE,"Dirichlet Tree",2,840,8
"496",TRUE,"Dirichlet Tree",2,840,10
"497",FALSE,"Dirichlet Tree",3,840,10
"498",TRUE,"Dirichlet Tree",3,840,10
"499",FALSE,"Dirichlet",1,840,8
"500",TRUE,"Dirichlet",1,840,10
"501",FALSE,"Dirichlet",2,840,0
"502",TRUE,"Dirichlet",2,840,10
"503",FALSE,"Dirichlet",3,840,2
"504",TRUE,"Dirichlet",3,840,10
"505",FALSE,"Dirichlet Tree",1,860,6
"506",TRUE,"Dirichlet Tree",1,860,10
"507",FALSE,"Dirichlet Tree",2,860,10
"508",TRUE,"Dirichlet Tree",2,860,10
"509",FALSE,"Dirichlet Tree",3,860,10
"510",TRUE,"Dirichlet Tree",3,860,10
"511",FALSE,"Dirichlet",1,860,8
"512",TRUE,"Dirichlet",1,860,10
"513",FALSE,"Dirichlet",2,860,1
"514",TRUE,"Dirichlet",2,860,10
"515",FALSE,"Dirichlet",3,860,1
"516",TRUE,"Dirichlet",3,860,10
"517",FALSE,"Dirichlet Tree",1,880,7
"518",TRUE,"Dirichlet Tree",1,880,10
"519",FALSE,"Dirichlet Tree",2,880,7
"520",TRUE,"Dirichlet Tree",2,880,10
"521",FALSE,"Dirichlet Tree",3,880,6
"522",TRUE,"Dirichlet Tree",3,880,10
"523",FALSE,"Dirichlet",1,880,7
"524",TRUE,"Dirichlet",1,880,10
"525",FALSE,"Dirichlet",2,880,1
"526",TRUE,"Dirichlet",2,880,10
"527",FALSE,"Dirichlet",3,880,1
"528",TRUE,"Dirichlet",3,880,10
"529",FALSE,"Dirichlet Tree",1,900,9
"530",TRUE,"Dirichlet Tree",1,900,10
"531",FALSE,"Dirichlet Tree",2,900,8
"532",TRUE,"Dirichlet Tree",2,900,10
"533",FALSE,"Dirichlet Tree",3,900,8
"534",TRUE,"Dirichlet Tree",3,900,10
"535",FALSE,"Dirichlet",1,900,8
"536",TRUE,"Dirichlet",1,900,10
"537",FALSE,"Dirichlet",2,900,1
"538",TRUE,"Dirichlet",2,900,10
"539",FALSE,"Dirichlet",3,900,1
"540",TRUE,"Dirichlet",3,900,10
"541",FALSE,"Dirichlet Tree",1,920,8
"542",TRUE,"Dirichlet Tree",1,920,10
"543",FALSE,"Dirichlet Tree",2,920,10
"544",TRUE,"Dirichlet Tree",2,920,9
"545",FALSE,"Dirichlet Tree",3,920,9
"546",TRUE,"Dirichlet Tree",3,920,10
"547",FALSE,"Dirichlet",1,920,7
"548",TRUE,"Dirichlet",1,920,10
"549",FALSE,"Dirichlet",2,920,2
"550",TRUE,"Dirichlet",2,920,8
"551",FALSE,"Dirichlet",3,920,1
"552",TRUE,"Dirichlet",3,920,10
"553",FALSE,"Dirichlet Tree",1,940,9
"554",TRUE,"Dirichlet Tree",1,940,10
"555",FALSE,"Dirichlet Tree",2,940,5
"556",TRUE,"Dirichlet Tree",2,940,10
"557",FALSE,"Dirichlet Tree",3,940,8
"558",TRUE,"Dirichlet Tree",3,940,10
"559",FALSE,"Dirichlet",1,940,7
"560",TRUE,"Dirichlet",1,940,10
"561",FALSE,"Dirichlet",2,940,2
"562",TRUE,"Dirichlet",2,940,10
"563",FALSE,"Dirichlet",3,940,1
"564",TRUE,"Dirichlet",3,940,10
"565",FALSE,"Dirichlet Tree",1,960,8
"566",TRUE,"Dirichlet Tree",1,960,10
"567",FALSE,"Dirichlet Tree",2,960,6
"568",TRUE,"Dirichlet Tree",2,960,10
"569",FALSE,"Dirichlet Tree",3,960,7
"570",TRUE,"Dirichlet Tree",3,960,10
"571",FALSE,"Dirichlet",1,960,8
"572",TRUE,"Dirichlet",1,960,10
"573",FALSE,"Dirichlet",2,960,1
"574",TRUE,"Dirichlet",2,960,10
"575",FALSE,"Dirichlet",3,960,3
"576",TRUE,"Dirichlet",3,960,10
"577",FALSE,"Dirichlet Tree",1,980,6
"578",TRUE,"Dirichlet Tree",1,980,10
"579",FALSE,"Dirichlet Tree",2,980,7
"580",TRUE,"Dirichlet Tree",2,980,10
"581",FALSE,"Dirichlet Tree",3,980,8
"582",TRUE,"Dirichlet Tree",3,980,10
"583",FALSE,"Dirichlet",1,980,9
"584",TRUE,"Dirichlet",1,980,10
"585",FALSE,"Dirichlet",2,980,3
"586",TRUE,"Dirichlet",2,980,10
"587",FALSE,"Dirichlet",3,980,1
"588",TRUE,"Dirichlet",3,980,10
"589",FALSE,"Dirichlet Tree",1,1000,8
"590",TRUE,"Dirichlet Tree",1,1000,10
"591",FALSE,"Dirichlet Tree",2,1000,8
