"","usingObserved","treeType","scale","counted","mean","median","pi.lower","pi.upper"
"90",TRUE,"Dirichlet Tree","10",160,0.589253483551934,0.60463041019002,0.211352241082237,0.914609071226101
"91",FALSE,"Dirichlet","0",160,0.358606448754358,0.339366849685221,0.0779968299348032,0.705312704281213
"92",TRUE,"Dirichlet","0",160,0.42022744148907,0.395554513549474,0.038325314991241,0.882426419236384
"93",FALSE,"Dirichlet","1",160,0.120018841297213,0.120015020630244,0.117949414105057,0.122101301149566
"94",TRUE,"Dirichlet","1",160,0.238009715675871,0.21729018151833,0.0521534531737488,0.495218766017486
"95",FALSE,"Dirichlet","10",160,0.0696616392628228,0.0543906324237236,0.00641463813394435,0.185313541651223
"96",TRUE,"Dirichlet","10",160,0.249960940804945,0.243942461157963,0.128488739602317,0.392058375476463
"97",FALSE,"Dirichlet Tree","0",180,0.376126945644577,0.359087431842142,0.086968032636842,0.723822149432419
"98",TRUE,"Dirichlet Tree","0",180,0.379408874956573,0.341137445892813,0.0238770031446282,0.858754180476095
"99",FALSE,"Dirichlet Tree","1",180,0.510565853113542,0.513089417554455,0.108161134629317,0.904498821822558
"100",TRUE,"Dirichlet Tree","1",180,0.517895935476109,0.526844008648528,0.0344383754890182,0.975527107667021
"101",FALSE,"Dirichlet Tree","10",180,0.538930943746533,0.540343298553791,0.351610164529022,0.72140400897776
"102",TRUE,"Dirichlet Tree","10",180,0.531070686375401,0.535225791732839,0.198454889578231,0.849401050331492
"103",FALSE,"Dirichlet","0",180,0.403052862461631,0.373560841748225,0.033603380707051,0.868663351354177
"104",TRUE,"Dirichlet","0",180,0.390236732241111,0.33800190850517,0.00895047420162371,0.924356520807916
"105",FALSE,"Dirichlet","1",180,0.0599433678790236,0.0527645401393623,0.0137286134038775,0.130752680622748
"106",TRUE,"Dirichlet","1",180,0.229982833343796,0.227080423216729,0.148133453209156,0.321755060113083
"107",FALSE,"Dirichlet","10",180,0.0299937050157677,0.0299884093624639,0.0288493937943312,0.03115608026176
"108",TRUE,"Dirichlet","10",180,0.269890502803432,0.242115397997646,0.042471784069922,0.592786241538066
"109",FALSE,"Dirichlet Tree","0",200,0.475034114209475,0.464788192281188,0.0359134825384952,0.945648573589129
"110",TRUE,"Dirichlet Tree","0",200,0.451574347026876,0.445793809531163,0.151032965512698,0.772012931487544
"111",FALSE,"Dirichlet Tree","1",200,0.379335700791075,0.354909457510451,0.0548972699275327,0.786596281117466
"112",TRUE,"Dirichlet Tree","1",200,0.449747177004205,0.447235980033535,0.24024066263474,0.667886764671052
"113",FALSE,"Dirichlet Tree","10",200,0.501956862571427,0.502093340052941,0.252309649807799,0.751134172806078
"114",TRUE,"Dirichlet Tree","10",200,0.600920152572555,0.608679870230307,0.33308401142106,0.84203004402586
"115",FALSE,"Dirichlet","0",200,0.405255229371424,0.375494615409889,0.0321812348098179,0.87489323561087
"116",TRUE,"Dirichlet","0",200,0.417572355231655,0.399073247138594,0.0638302286200149,0.833671500673226
"117",FALSE,"Dirichlet","1",200,0.0698753018640463,0.0698704122118731,0.0681520918831644,0.0716151909301013
"118",TRUE,"Dirichlet","1",200,0.290222350636377,0.284228909520238,0.150476114588171,0.450521038958362
"119",FALSE,"Dirichlet","10",200,0.109976686281069,0.109969977952442,0.107374326734775,0.112601928621085
"120",TRUE,"Dirichlet","10",200,0.229965615755477,0.22469171393011,0.12314488932058,0.354846705627305
"121",FALSE,"Dirichlet Tree","0",220,0.419140771342561,0.399126070088267,0.0558275283161292,0.849378772364734
"122",TRUE,"Dirichlet Tree","0",220,0.476360552601019,0.468552447345047,0.0547520063727173,0.923139145639658
"123",FALSE,"Dirichlet Tree","1",220,0.440531527443821,0.438779812831952,0.27657430340902,0.610495602257934
"124",TRUE,"Dirichlet Tree","1",220,0.577596646106085,0.601204353739456,0.118502519694472,0.959662922858178
"125",FALSE,"Dirichlet Tree","10",220,0.559975969406078,0.559982050829416,0.549897021378785,0.570034172726972
"126",TRUE,"Dirichlet Tree","10",220,0.603031984911327,0.622755778263961,0.207081171283144,0.931886443848321
"127",FALSE,"Dirichlet","0",220,0.356955541891252,0.341990440756777,0.100101457110323,0.665349379005118
"128",TRUE,"Dirichlet","0",220,0.423898166650912,0.415077843815329,0.134522318219606,0.743639709610279
"129",FALSE,"Dirichlet","1",220,0.109798846677492,0.0976249028709042,0.0251069250810736,0.236280316823632
"130",TRUE,"Dirichlet","1",220,0.24018880787054,0.240188733535484,0.239728604014977,0.240649265289456
"131",FALSE,"Dirichlet","10",220,0.109942108243568,0.104983143701693,0.0489236628365397,0.187927770008178
"132",TRUE,"Dirichlet","10",220,0.319889341389579,0.317184170569491,0.211099508778046,0.437934304657142
"133",FALSE,"Dirichlet Tree","0",240,0.360913456540191,0.334257420901702,0.0509965526579327,0.761439235142718
"134",TRUE,"Dirichlet Tree","0",240,0.408307426353466,0.401681665388423,0.170991634961016,0.668439458606704
"135",FALSE,"Dirichlet Tree","1",240,0.446888986174247,0.436238791790418,0.0903889657105841,0.839555889449996
"136",TRUE,"Dirichlet Tree","1",240,0.527821578904852,0.541060428577202,0.0417267142824197,0.975024882735218
"137",FALSE,"Dirichlet Tree","10",240,0.632933903642984,0.649469986220683,0.299777665027269,0.909208618912511
"138",TRUE,"Dirichlet Tree","10",240,0.592131311275163,0.601500094135917,0.288793878804094,0.863196228239412
"139",FALSE,"Dirichlet","0",240,0.380894367652582,0.361524270331047,0.0744342017444559,0.753646894774679
"140",TRUE,"Dirichlet","0",240,0.413341009449661,0.399706318722304,0.0959255872620974,0.777477219687184
"141",FALSE,"Dirichlet","1",240,0.150215221977836,0.150211129459046,0.147760293930537,0.152684110001604
"142",TRUE,"Dirichlet","1",240,0.210013175477687,0.210012582798024,0.208841111034699,0.211187261603447
"143",FALSE,"Dirichlet","10",240,0.110098677159225,0.102707391124364,0.0387187150009016,0.206800627863458
"144",TRUE,"Dirichlet","10",240,0.371081788773707,0.354795940870034,0.0917859508015653,0.706389910256065
"145",FALSE,"Dirichlet Tree","0",260,0.340827237671339,0.289680549388416,0.0141444206681716,0.832198667046242
"146",TRUE,"Dirichlet Tree","0",260,0.467563221911686,0.459774548418577,0.0826411432855145,0.878617678630444
"147",FALSE,"Dirichlet Tree","1",260,0.474211568956604,0.470836215899315,0.157000647146805,0.803030392923966
"148",TRUE,"Dirichlet Tree","1",260,0.399350806223108,0.381113217895546,0.0743631754531086,0.786532735186861
"149",FALSE,"Dirichlet Tree","10",260,0.540676828990715,0.543322397480671,0.29508508922552,0.777162204438601
"150",TRUE,"Dirichlet Tree","10",260,0.605481109191829,0.623051102439137,0.230472833627832,0.920392522999739
"151",FALSE,"Dirichlet","0",260,0.386029941775136,0.358288027073276,0.0433251811717038,0.821557279406353
"152",TRUE,"Dirichlet","0",260,0.387178825289508,0.376393915715918,0.128424927417514,0.683086571968269
"153",FALSE,"Dirichlet","1",260,0.109959722624388,0.109954284936476,0.107615919575042,0.11232207416665
"154",TRUE,"Dirichlet","1",260,0.314004685729015,0.291739815363785,0.0642903788821545,0.640307227054781
"155",FALSE,"Dirichlet","10",260,0.0799662744256194,0.0799660299321623,0.0795498036376422,0.0803835792021653
"156",TRUE,"Dirichlet","10",260,0.250035807300389,0.250034182250828,0.247814319159225,0.252262838634785
"157",FALSE,"Dirichlet Tree","0",280,0.44248713505397,0.435653752252447,0.14498448492104,0.763511538422199
"158",TRUE,"Dirichlet Tree","0",280,0.476913602078399,0.469001747646138,0.0515982723812952,0.927563111779174
"159",FALSE,"Dirichlet Tree","1",280,0.551126644455325,0.561397636729802,0.15870778906502,0.908669158694739
"160",TRUE,"Dirichlet Tree","1",280,0.561165275772593,0.567974437660725,0.248367686102925,0.850514692153277
"161",FALSE,"Dirichlet Tree","10",280,0.533339788504374,0.537005590107749,0.22571362949801,0.828341213007611
"162",TRUE,"Dirichlet Tree","10",280,0.526413807225964,0.53318170621006,0.109161651439778,0.921092278091076
"163",FALSE,"Dirichlet","0",280,0.431544480727983,0.422034783607198,0.120381429668634,0.77538097245781
"164",TRUE,"Dirichlet","0",280,0.475904617643037,0.464031142857711,0.0238063616692387,0.962454803717244
"165",FALSE,"Dirichlet","1",280,0.0600079249281467,0.0600054443509976,0.05887613454104,0.0611481767946168
"166",TRUE,"Dirichlet","1",280,0.371899407853947,0.362347549427166,0.140718961535736,0.635975849636052
"167",FALSE,"Dirichlet","10",280,0.120064873855199,0.120059447237081,0.117599525183448,0.122548733259789
"168",TRUE,"Dirichlet","10",280,0.349263763843455,0.330994335999429,0.0826518500482515,0.678729911018413
"169",FALSE,"Dirichlet Tree","0",300,0.394155836647496,0.381875927960726,0.114310048825554,0.716274176122338
"170",TRUE,"Dirichlet Tree","0",300,0.478083517480716,0.470555859348061,0.0518767658505669,0.928384386525496
"171",FALSE,"Dirichlet Tree","1",300,0.485097164683844,0.48374765915264,0.20864854348692,0.766195109197015
"172",TRUE,"Dirichlet Tree","1",300,0.463885332854845,0.452789951080677,0.056104482932168,0.907850405249579
"173",FALSE,"Dirichlet Tree","10",300,0.57795461795952,0.584497421380996,0.300106212681404,0.833263730378651
"174",TRUE,"Dirichlet Tree","10",300,0.619930141350981,0.64153756350744,0.23118544100046,0.934992434058767
"175",FALSE,"Dirichlet","0",300,0.384577599266145,0.372291322002813,0.116346726957448,0.695122555636805
"176",TRUE,"Dirichlet","0",300,0.362468195175178,0.298514508810474,0.00613481726581837,0.906977611381839
"177",FALSE,"Dirichlet","1",300,0.119654858890454,0.107236240644132,0.0287895060467463,0.253156018730514
"178",TRUE,"Dirichlet","1",300,0.349433018153175,0.340715107201128,0.145957921186955,0.582902382585969
"179",FALSE,"Dirichlet","10",300,0.120064873855199,0.120059447237081,0.117599525183448,0.122548733259789
"180",TRUE,"Dirichlet","10",300,0.348931578725216,0.337897609659778,0.126125639877189,0.609735544959988
"181",FALSE,"Dirichlet Tree","0",320,0.461956604575558,0.451263596456848,0.063676164237229,0.895534194285204
"182",TRUE,"Dirichlet Tree","0",320,0.543192934173043,0.559076306463067,0.0743989497151285,0.961867730086227
"183",FALSE,"Dirichlet Tree","1",320,0.601056951373329,0.606081325917268,0.382589361547403,0.802251559186765
"184",TRUE,"Dirichlet Tree","1",320,0.571024537938719,0.58732680867271,0.154458663780726,0.932719962903484
"185",FALSE,"Dirichlet Tree","10",320,0.589979057956834,0.591862970499514,0.446213451744475,0.727293016610054
"186",TRUE,"Dirichlet Tree","10",320,0.621560918079911,0.648618562916204,0.198964163266954,0.952979261592332
"187",FALSE,"Dirichlet","0",320,0.430298726707023,0.415885745766577,0.0780777046464429,0.831372880582617
"188",TRUE,"Dirichlet","0",320,0.449359336960509,0.439146276176685,0.0911935075851403,0.842197698017266
"189",FALSE,"Dirichlet","1",320,0.0900115523566141,0.0899933777244649,0.0862041734582044,0.0938809272579506
"190",TRUE,"Dirichlet","1",320,0.329599641068825,0.329596551560429,0.325572777343926,0.333637043416311
"191",FALSE,"Dirichlet","10",320,0.0399752954914689,0.0330589376400489,0.00596776384350415,0.0976753885620434
"192",TRUE,"Dirichlet","10",320,0.41407367151051,0.406279889464882,0.152868003402939,0.702130017866997
