"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5","wincount.6","wincount.7","wincount.8","wincount.9","wincount.10"
"178",2,TRUE,"dtree",0.100000001490116,200,0,0,2,0,0,86,0,0,12,0
"179",2,FALSE,"dtree",1,200,0,0,4,2,0,82,0,0,12,0
"180",2,TRUE,"dtree",1,200,0,0,0,0,0,87,0,0,13,0
"181",2,FALSE,"dtree",10,200,0,0,2,1,0,93,0,0,4,0
"182",2,TRUE,"dtree",10,200,0,0,3,0,0,88,0,0,9,0
"183",2,FALSE,"dtree",100,200,3,3,19,5,5,38,4,0,20,3
"184",2,TRUE,"dtree",100,200,0,0,5,3,0,76,0,0,16,0
"185",2,FALSE,"dirichlet",0.100000001490116,200,11,11,7,7,15,8,9,13,5,14
"186",2,TRUE,"dirichlet",0.100000001490116,200,2,2,9,9,2,47,1,3,25,0
"187",2,FALSE,"dirichlet",1,200,11,6,7,9,11,12,12,7,12,13
"188",2,TRUE,"dirichlet",1,200,0,5,13,5,0,49,1,3,23,1
"189",2,FALSE,"dirichlet",10,200,13,11,11,11,8,12,11,7,11,5
"190",2,TRUE,"dirichlet",10,200,0,6,5,6,1,58,1,1,22,0
"191",2,FALSE,"dirichlet",100,200,9,14,6,5,10,14,17,15,5,5
"192",2,TRUE,"dirichlet",100,200,2,4,11,6,1,43,3,1,29,0
"193",2,FALSE,"dtree",0.100000001490116,300,0,0,0,0,0,97,0,0,3,0
"194",2,TRUE,"dtree",0.100000001490116,300,0,0,0,0,0,99,0,0,1,0
"195",2,FALSE,"dtree",1,300,0,0,0,0,0,99,0,0,1,0
"196",2,TRUE,"dtree",1,300,0,0,0,0,0,100,0,0,0,0
"197",2,FALSE,"dtree",10,300,0,0,1,0,0,99,0,0,0,0
"198",2,TRUE,"dtree",10,300,0,0,0,0,0,100,0,0,0,0
"199",2,FALSE,"dtree",100,300,1,2,12,8,0,62,0,5,9,1
"200",2,TRUE,"dtree",100,300,0,0,0,0,0,100,0,0,0,0
"201",2,FALSE,"dirichlet",0.100000001490116,300,8,7,7,9,6,12,10,11,19,11
"202",2,TRUE,"dirichlet",0.100000001490116,300,0,0,1,0,0,93,0,1,5,0
"203",2,FALSE,"dirichlet",1,300,14,4,9,13,11,13,8,4,12,12
"204",2,TRUE,"dirichlet",1,300,0,0,2,1,0,92,0,0,5,0
"205",2,FALSE,"dirichlet",10,300,7,13,10,8,10,7,6,14,9,16
"206",2,TRUE,"dirichlet",10,300,0,0,1,0,0,97,0,0,2,0
"207",2,FALSE,"dirichlet",100,300,8,3,11,11,12,11,7,9,14,14
"208",2,TRUE,"dirichlet",100,300,0,0,1,0,0,93,0,0,6,0
"209",2,FALSE,"dtree",0.100000001490116,400,0,0,2,0,0,96,0,0,2,0
"210",2,TRUE,"dtree",0.100000001490116,400,0,0,0,0,0,100,0,0,0,0
"211",2,FALSE,"dtree",1,400,0,0,2,0,0,95,0,0,3,0
"212",2,TRUE,"dtree",1,400,0,0,0,0,0,100,0,0,0,0
"213",2,FALSE,"dtree",10,400,0,0,0,0,0,100,0,0,0,0
"214",2,TRUE,"dtree",10,400,0,0,0,0,0,100,0,0,0,0
"215",2,FALSE,"dtree",100,400,3,1,10,3,1,68,0,6,8,0
"216",2,TRUE,"dtree",100,400,0,0,0,0,0,100,0,0,0,0
"217",2,FALSE,"dirichlet",0.100000001490116,400,15,10,6,15,13,12,4,14,8,3
