"","repno","usingObserved","treeType","scale","counted","wincount.1","wincount.2","wincount.3","wincount.4","wincount.5"
"270",1,TRUE,"dirichlet",10,170,0,0,22,1,2
"271",1,FALSE,"dirichlet",100,170,3,6,9,4,3
"272",1,TRUE,"dirichlet",100,170,0,0,23,0,2
"273",1,FALSE,"dtree",0.100000001490116,180,0,0,25,0,0
"274",1,TRUE,"dtree",0.100000001490116,180,0,0,24,1,0
"275",1,FALSE,"dtree",1,180,0,0,25,0,0
"276",1,TRUE,"dtree",1,180,0,0,25,0,0
"277",1,FALSE,"dtree",10,180,0,0,25,0,0
"278",1,TRUE,"dtree",10,180,0,0,24,1,0
"279",1,FALSE,"dtree",100,180,1,0,19,5,0
"280",1,TRUE,"dtree",100,180,0,0,25,0,0
"281",1,FALSE,"dirichlet",0.100000001490116,180,0,0,23,1,1
"282",1,TRUE,"dirichlet",0.100000001490116,180,0,0,25,0,0
"283",1,FALSE,"dirichlet",1,180,1,1,21,2,0
"284",1,TRUE,"dirichlet",1,180,0,0,22,2,1
"285",1,FALSE,"dirichlet",10,180,2,4,7,5,7
"286",1,TRUE,"dirichlet",10,180,0,0,23,1,1
"287",1,FALSE,"dirichlet",100,180,7,7,3,4,4
"288",1,TRUE,"dirichlet",100,180,0,0,21,4,0
"289",1,FALSE,"dtree",0.100000001490116,190,0,0,25,0,0
"290",1,TRUE,"dtree",0.100000001490116,190,0,0,25,0,0
"291",1,FALSE,"dtree",1,190,0,0,25,0,0
"292",1,TRUE,"dtree",1,190,0,0,25,0,0
"293",1,FALSE,"dtree",10,190,0,0,24,1,0
"294",1,TRUE,"dtree",10,190,0,0,25,0,0
"295",1,FALSE,"dtree",100,190,0,0,20,4,1
"296",1,TRUE,"dtree",100,190,0,0,25,0,0
"297",1,FALSE,"dirichlet",0.100000001490116,190,0,0,25,0,0
"298",1,TRUE,"dirichlet",0.100000001490116,190,0,0,25,0,0
"299",1,FALSE,"dirichlet",1,190,1,0,19,4,1
"300",1,TRUE,"dirichlet",1,190,0,0,25,0,0
"301",1,FALSE,"dirichlet",10,190,4,6,8,5,2
"302",1,TRUE,"dirichlet",10,190,0,0,20,5,0
"303",1,FALSE,"dirichlet",100,190,3,6,4,6,6
"304",1,TRUE,"dirichlet",100,190,0,0,22,3,0
"305",1,FALSE,"dtree",0.100000001490116,200,0,0,24,1,0
"306",1,TRUE,"dtree",0.100000001490116,200,0,0,25,0,0
"307",1,FALSE,"dtree",1,200,0,0,25,0,0
"308",1,TRUE,"dtree",1,200,0,0,25,0,0
"309",1,FALSE,"dtree",10,200,0,0,25,0,0
"310",1,TRUE,"dtree",10,200,0,0,25,0,0
"311",1,FALSE,"dtree",100,200,0,0,21,4,0
"312",1,TRUE,"dtree",100,200,0,0,24,1,0
"313",1,FALSE,"dirichlet",0.100000001490116,200,0,0,25,0,0
"314",1,TRUE,"dirichlet",0.100000001490116,200,0,0,25,0,0
"315",1,FALSE,"dirichlet",1,200,1,0,20,4,0
"316",1,TRUE,"dirichlet",1,200,0,0,24,1,0
"317",1,FALSE,"dirichlet",10,200,6,4,8,3,4
"318",1,TRUE,"dirichlet",10,200,0,0,23,2,0
"319",1,FALSE,"dirichlet",100,200,5,3,3,8,6
"320",1,TRUE,"dirichlet",100,200,0,0,23,2,0
"321",1,FALSE,"dtree",0.100000001490116,210,0,0,25,0,0
"322",1,TRUE,"dtree",0.100000001490116,210,0,0,25,0,0
"323",1,FALSE,"dtree",1,210,0,0,25,0,0
"324",1,TRUE,"dtree",1,210,0,0,25,0,0
"325",1,FALSE,"dtree",10,210,0,0,25,0,0
"326",1,TRUE,"dtree",10,210,0,0,25,0,0
"327",1,FALSE,"dtree",100,210,0,0,23,1,1
"328",1,TRUE,"dtree",100,210,0,0,25,0,0
"329",1,FALSE,"dirichlet",0.100000001490116,210,0,0,25,0,0
"330",1,TRUE,"dirichlet",0.100000001490116,210,0,0,25,0,0
"331",1,FALSE,"dirichlet",1,210,2,0,19,4,0
"332",1,TRUE,"dirichlet",1,210,0,0,24,1,0
"333",1,FALSE,"dirichlet",10,210,3,4,6,7,5
"334",1,TRUE,"dirichlet",10,210,0,0,21,3,1
"335",1,FALSE,"dirichlet",100,210,5,2,5,9,4
"336",1,TRUE,"dirichlet",100,210,0,0,23,2,0
"337",1,FALSE,"dtree",0.100000001490116,220,0,0,25,0,0
"338",1,TRUE,"dtree",0.100000001490116,220,0,0,25,0,0
"339",1,FALSE,"dtree",1,220,0,0,25,0,0
"340",1,TRUE,"dtree",1,220,0,0,25,0,0
"341",1,FALSE,"dtree",10,220,0,0,25,0,0
"342",1,TRUE,"dtree",10,220,0,0,25,0,0
"343",1,FALSE,"dtree",100,220,0,1,17,6,1
"344",1,TRUE,"dtree",100,220,0,0,25,0,0
"345",1,FALSE,"dirichlet",0.100000001490116,220,0,0,24,1,0
"346",1,TRUE,"dirichlet",0.100000001490116,220,0,0,25,0,0
"347",1,FALSE,"dirichlet",1,220,0,1,21,3,0
"348",1,TRUE,"dirichlet",1,220,0,0,25,0,0
"349",1,FALSE,"dirichlet",10,220,3,3,7,6,6
"350",1,TRUE,"dirichlet",10,220,0,0,23,2,0
"351",1,FALSE,"dirichlet",100,220,3,8,3,6,5
"352",1,TRUE,"dirichlet",100,220,0,0,22,3,0
"353",1,FALSE,"dtree",0.100000001490116,230,0,0,25,0,0
"354",1,TRUE,"dtree",0.100000001490116,230,0,0,25,0,0
"355",1,FALSE,"dtree",1,230,0,0,25,0,0
"356",1,TRUE,"dtree",1,230,0,0,25,0,0
"357",1,FALSE,"dtree",10,230,0,0,25,0,0
"358",1,TRUE,"dtree",10,230,0,0,25,0,0
"359",1,FALSE,"dtree",100,230,0,0,21,4,0
"360",1,TRUE,"dtree",100,230,0,0,25,0,0
"361",1,FALSE,"dirichlet",0.100000001490116,230,0,0,25,0,0
"362",1,TRUE,"dirichlet",0.100000001490116,230,0,0,25,0,0
"363",1,FALSE,"dirichlet",1,230,0,0,23,1,1
"364",1,TRUE,"dirichlet",1,230,0,0,25,0,0
"365",1,FALSE,"dirichlet",10,230,5,3,8,7,2
"366",1,TRUE,"dirichlet",10,230,0,0,23,2,0
"367",1,FALSE,"dirichlet",100,230,5,5,4,4,7
"368",1,TRUE,"dirichlet",100,230,0,0,24,1,0
"369",1,FALSE,"dtree",0.100000001490116,240,0,0,25,0,0
"370",1,TRUE,"dtree",0.100000001490116,240,0,0,25,0,0
"371",1,FALSE,"dtree",1,240,0,0,25,0,0
"372",1,TRUE,"dtree",1,240,0,0,25,0,0
"373",1,FALSE,"dtree",10,240,0,0,25,0,0
"374",1,TRUE,"dtree",10,240,0,0,25,0,0
"375",1,FALSE,"dtree",100,240,0,0,24,1,0
"376",1,TRUE,"dtree",100,240,0,0,25,0,0
"377",1,FALSE,"dirichlet",0.100000001490116,240,0,0,25,0,0
"378",1,TRUE,"dirichlet",0.100000001490116,240,0,0,25,0,0
"379",1,FALSE,"dirichlet",1,240,0,0,24,1,0
"380",1,TRUE,"dirichlet",1,240,0,0,25,0,0
"381",1,FALSE,"dirichlet",10,240,3,6,10,2,4
"382",1,TRUE,"dirichlet",10,240,0,0,24,1,0
"383",1,FALSE,"dirichlet",100,240,6,8,4,4,3
"384",1,TRUE,"dirichlet",100,240,0,0,25,0,0
"385",1,FALSE,"dtree",0.100000001490116,250,0,0,25,0,0
"386",1,TRUE,"dtree",0.100000001490116,250,0,0,25,0,0
"387",1,FALSE,"dtree",1,250,0,0,25,0,0
"388",1,TRUE,"dtree",1,250,0,0,25,0,0
"389",1,FALSE,"dtree",10,250,0,0,25,0,0
"390",1,TRUE,"dtree",10,250,0,0,25,0,0
"391",1,FALSE,"dtree",100,250,0,0,23,2,0
"392",1,TRUE,"dtree",100,250,0,0,25,0,0
"393",1,FALSE,"dirichlet",0.100000001490116,250,0,0,25,0,0
"394",1,TRUE,"dirichlet",0.100000001490116,250,0,0,25,0,0
"395",1,FALSE,"dirichlet",1,250,0,0,22,2,1
"396",1,TRUE,"dirichlet",1,250,0,0,25,0,0
"397",1,FALSE,"dirichlet",10,250,3,2,10,5,5
"398",1,TRUE,"dirichlet",10,250,0,0,25,0,0
"399",1,FALSE,"dirichlet",100,250,3,5,5,5,7
"400",1,TRUE,"dirichlet",100,250,0,0,24,1,0
"401",1,FALSE,"dtree",0.100000001490116,260,0,0,25,0,0
"402",1,TRUE,"dtree",0.100000001490116,260,0,0,25,0,0
"403",1,FALSE,"dtree",1,260,0,0,25,0,0
"404",1,TRUE,"dtree",1,260,0,0,25,0,0
"405",1,FALSE,"dtree",10,260,0,0,25,0,0
"406",1,TRUE,"dtree",10,260,0,0,25,0,0
"407",1,FALSE,"dtree",100,260,1,0,24,0,0
"408",1,TRUE,"dtree",100,260,0,0,25,0,0
"409",1,FALSE,"dirichlet",0.100000001490116,260,0,0,25,0,0
"410",1,TRUE,"dirichlet",0.100000001490116,260,0,0,25,0,0
"411",1,FALSE,"dirichlet",1,260,0,0,23,0,2
"412",1,TRUE,"dirichlet",1,260,0,0,25,0,0
"413",1,FALSE,"dirichlet",10,260,3,6,7,5,4
"414",1,TRUE,"dirichlet",10,260,0,0,25,0,0
"415",1,FALSE,"dirichlet",100,260,2,8,5,3,7
"416",1,TRUE,"dirichlet",100,260,0,0,24,1,0
"417",1,FALSE,"dtree",0.100000001490116,270,0,0,25,0,0
"418",1,TRUE,"dtree",0.100000001490116,270,0,0,25,0,0
"419",1,FALSE,"dtree",1,270,0,0,25,0,0
"420",1,TRUE,"dtree",1,270,0,0,25,0,0
"421",1,FALSE,"dtree",10,270,0,0,25,0,0
"422",1,TRUE,"dtree",10,270,0,0,25,0,0
"423",1,FALSE,"dtree",100,270,0,0,25,0,0
"424",1,TRUE,"dtree",100,270,0,0,25,0,0
"425",1,FALSE,"dirichlet",0.100000001490116,270,0,0,25,0,0
"426",1,TRUE,"dirichlet",0.100000001490116,270,0,0,25,0,0
"427",1,FALSE,"dirichlet",1,270,1,0,22,2,0
"428",1,TRUE,"dirichlet",1,270,0,0,25,0,0
"429",1,FALSE,"dirichlet",10,270,5,3,10,7,0
"430",1,TRUE,"dirichlet",10,270,0,0,25,0,0
"431",1,FALSE,"dirichlet",100,270,5,4,5,6,5
"432",1,TRUE,"dirichlet",100,270,0,0,25,0,0
"433",1,FALSE,"dtree",0.100000001490116,280,0,0,25,0,0
"434",1,TRUE,"dtree",0.100000001490116,280,0,0,25,0,0
"435",1,FALSE,"dtree",1,280,0,0,25,0,0
"436",1,TRUE,"dtree",1,280,0,0,25,0,0
